Region Name,FBN,CloudForge NHO,CloudForge PFHO,CloudForge  Change Freeze,CloudForge NEA,Build Status,Cluster,AZ,Site,Build Type ID,Build ID,CloudForge NBD,Snapshot Day,Build Type,CloudForge Due Date,DataWare House Update Date
US-EAST,IAD085CONP05,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD85,CON,IAD085CONP05.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD009RWKM04,10/31/2020 12:00,,,,TRIGGERED,IAD,IAD1,IAD9,RWK,IAD009RWKM04.001,8/17/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,FRA061COLP02,11/13/2020 12:00,10/30/2020 12:00,7/31/2020 12:00,10/2/2020 12:00,TRIGGERED,FRA,FRA54,FRA61,COL,FRA061COLP02.001,8/10/2020 12:00,8/16/2020,Colo Room Build,8/14/2020,8/17/2020
US-EAST,IAD011RWKO02,10/8/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD11,RWK,IAD011RWKO02.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD059RWKP01,5/19/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD59,RWK,IAD059RWKP01.001,5/19/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,DUB074ROMP05,9/28/2020 12:00,9/14/2020 12:00,6/15/2020 12:00,8/14/2020 12:00,TRIGGERED,DUB,DUB4,DUB74,ROM,DUB074ROMP05.001,8/10/2020 12:00,8/16/2020,Room Build,9/4/2020,8/17/2020
APJC,CGK061ROMP01,12/11/2020 12:00,11/13/2020 12:00,7/31/2020 12:00,10/2/2020 12:00,TRIGGERED,CGK,CGK61,CGK61,ROM,CGK061ROMP01.001,9/7/2020 12:00,8/16/2020,Room Build,7/19/2021,8/17/2020
APJC,SYD051CONP20,10/2/2020 12:00,10/2/2020 12:00,,6/12/2020 12:00,PIRPED,SYD,SYD5,SYD51,CON,SYD051CONP20.001,6/30/2020 12:00,8/16/2020,Conversion Build,7/14/2020,8/17/2020
US-EAST,IAD061CONP09,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD1,IAD61,CON,IAD061CONP09.001,3/2/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
APJC,SIN004CONP20,11/9/2020 12:00,,,,PENDING_PIRP,SIN,SIN4,SIN4,CON,SIN004CONP20.001,7/26/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD010RWKK02,5/7/2020 12:00,,,,TRIGGERED,IAD,IAD6,IAD10,RWK,IAD010RWKK02.001,2/22/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD079CONP22,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD79,CON,IAD079CONP22.001,5/31/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD068ROMP03,11/17/2020 12:00,11/17/2020 12:00,5/12/2020 12:00,10/19/2020 12:00,TRIGGERED,IAD,IAD62,IAD68,ROM,IAD068ROMP03.001,8/10/2020 12:00,8/16/2020,Room Build,12/29/2020,8/17/2020
EMEA,DUB009CONP29,9/18/2020 12:00,9/18/2020 12:00,,9/11/2020 12:00,PIRPED,DUB,DUB2,DUB9,CON,DUB009CONP29.001,12/31/2020 12:00,8/16/2020,Conversion Build,10/8/2020,8/17/2020
US-EAST,IAD145CONP02,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD145,CON,IAD145CONP02.001,2/15/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD130CONP03,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD130,CON,IAD130CONP03.001,8/19/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD013CONP21,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD13,CON,IAD013CONP21.001,6/14/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
APJC,ICN052RWKP03,9/30/2019 12:00,,,,PENDING_PIRP,ICN,ICN52,ICN52,RWK,ICN052RWKP03.001,9/30/2019 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD011CONP20,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD11,CON,IAD011CONP20.001,5/10/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,DUB008RWKP89,8/31/2020 12:00,,,,PENDING_PIRP,DUB,DUB8,DUB8,RWK,DUB008RWKP89.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,PDX004RWKO12,11/8/2020 12:00,,,,TRIGGERED,PDX,PDX4,PDX4,RWK,PDX004RWKO12.001,11/8/2020 12:00,8/16/2020,Rework Build,,8/17/2020
