constrained_or_not,tpm,scaling fbn,fbn,cluster,az,t2_site,parent site,site,constratined site date,parent site rspc needed,impact date,six week nho,pfho,nea,corp,fea,change freeze,umn,provide floor plan,network rack split,provide cutsheets,finalize webbom,initiation,ss
Not Constrained,hilemam,NW18DB4034,IAD081ROMP01,IAD,IAD62,IAD081,IAD062,IAD62,05/10/20,05/04/19,08/06/19,07/18/19,07/31/19,06/03/19,06/24/19,05/20/19,04/17/19,05/06/19,03/18/19,03/04/19,02/11/19,01/28/19,01/04/19,07/18/20
Not Constrained,hilemam,NW18DB4034,IAD081ROMP01,IAD,IAD62,IAD081,IAD068,IAD68,05/10/20,05/04/19,08/06/19,07/18/19,07/31/19,06/03/19,06/24/19,05/20/19,04/17/19,05/06/19,03/18/19,03/04/19,02/11/19,01/28/19,01/04/19,07/18/20
Constrained,hilemam,NW18DB4029,IAD144ROMP01,IAD,IAD12,IAD144,IAD058,IAD58,05/10/20,05/25/19,08/19/19,08/08/19,08/12/19,06/24/19,07/15/19,06/10/19,,05/27/19,04/08/19,03/25/19,03/04/19,02/18/19,01/25/19,07/18/20
Constrained,hilemam,NW18DB4029,IAD144ROMP01,IAD,IAD12,IAD144,IAD092,IAD92,05/10/20,05/25/19,08/19/19,08/08/19,08/12/19,06/24/19,07/15/19,06/10/19,,05/27/19,04/08/19,03/25/19,03/04/19,02/18/19,01/25/19,07/18/20
Constrained,stkeck,NW18DB4005,DUB074ROMP01,DUB,DUB4,DUB074,DUB054,DUB54,05/10/20,08/31/19,01/28/20,11/14/19,01/28/20,09/30/19,10/21/19,09/16/19,,09/02/19,07/15/19,07/01/19,06/10/19,05/27/19,05/03/19,07/18/20
Constrained,hilemam,NW18DB4037,IAD096ROMP01,IAD,IAD7,IAD096,IAD073,IAD73,05/10/20,09/07/19,12/14/19,11/21/19,11/13/19,10/07/19,10/28/19,09/23/19,,09/09/19,07/22/19,07/08/19,06/17/19,06/03/19,05/10/19,07/18/20
Constrained,hilemam,NW18DB4037,IAD096ROMP01,IAD,IAD7,IAD096,IAD074,IAD74,05/10/20,09/07/19,12/14/19,11/21/19,11/13/19,10/07/19,10/28/19,09/23/19,,09/09/19,07/22/19,07/08/19,06/17/19,06/03/19,05/10/19,07/18/20
Not Constrained,hilemam,NW18DB4037,IAD096ROMP01,IAD,IAD7,IAD096,IAD085,IAD85,10/31/21,09/07/19,12/14/19,11/21/19,11/13/19,10/07/19,10/28/19,09/23/19,,09/09/19,07/22/19,07/08/19,06/17/19,06/03/19,05/10/19,07/18/20
Constrained,hilemam,NW18DB4037,IAD096ROMP01,IAD,IAD7,IAD096,IAD095,IAD95,08/02/20,09/07/19,12/14/19,11/21/19,11/13/19,10/07/19,10/28/19,09/23/19,,09/09/19,07/22/19,07/08/19,06/17/19,06/03/19,05/10/19,07/18/20
Constrained,cifizzar,NW18DB4026,IAD133ROMP01,IAD,IAD7,IAD133,IAD132,IAD132,01/03/21,09/14/19,01/19/20,11/28/19,01/10/20,10/14/19,11/04/19,09/30/19,,09/16/19,07/29/19,07/15/19,06/24/19,06/10/19,05/17/19,07/18/20
